dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,pengelompokan
2011-01-01,Spring,0,1,0,6,0,Cloudy,0.344167,80.58330000000001,10.749882,331,654,985,Rendah
2011-01-02,Spring,0,1,0,0,0,Cloudy,0.363478,69.6087,16.652113,131,670,801,Rendah
2011-01-03,Spring,0,1,0,1,1,Clear,0.196364,43.7273,16.636703,120,1229,1349,Rendah
2011-01-04,Spring,0,1,0,2,1,Clear,0.2,59.0435,10.739832,108,1454,1562,Rendah
2011-01-05,Spring,0,1,0,3,1,Clear,0.226957,43.695699999999995,12.522300000000001,82,1518,1600,Rendah
2011-01-06,Spring,0,1,0,4,1,Clear,0.204348,51.8261,6.0008684,88,1518,1606,Rendah
2011-01-07,Spring,0,1,0,5,1,Cloudy,0.196522,49.8696,11.304642,148,1362,1510,Rendah
2011-01-08,Spring,0,1,0,6,0,Cloudy,0.165,53.5833,17.875868,68,891,959,Rendah
2011-01-09,Spring,0,1,0,0,0,Clear,0.138333,43.416700000000006,24.25065,54,768,822,Rendah
2011-01-10,Spring,0,1,0,1,1,Clear,0.150833,48.2917,14.958889,41,1280,1321,Rendah
2011-01-11,Spring,0,1,0,2,1,Cloudy,0.169091,68.6364,8.182844000000001,43,1220,1263,Rendah
2011-01-12,Spring,0,1,0,3,1,Clear,0.172727,59.954499999999996,20.410009,25,1137,1162,Rendah
2011-01-13,Spring,0,1,0,4,1,Clear,0.165,47.0417,20.166999999999998,38,1368,1406,Rendah
2011-01-14,Spring,0,1,0,5,1,Clear,0.16087,53.7826,8.478716,54,1367,1421,Rendah
2011-01-15,Spring,0,1,0,6,0,Cloudy,0.233333,49.875,10.583521,222,1026,1248,Rendah
2011-01-16,Spring,0,1,0,0,0,Clear,0.231667,48.375,12.625010999999999,251,953,1204,Rendah
2011-01-17,Spring,0,1,1,1,0,Cloudy,0.175833,53.75,12.999139,117,883,1000,Rendah
2011-01-18,Spring,0,1,0,2,1,Cloudy,0.216667,86.16669999999999,9.833924999999999,9,674,683,Rendah
2011-01-19,Spring,0,1,0,3,1,Cloudy,0.292174,74.1739,13.957239,78,1572,1650,Rendah
2011-01-20,Spring,0,1,0,4,1,Cloudy,0.261667,53.833299999999994,13.125568,83,1844,1927,Rendah
2011-01-21,Spring,0,1,0,5,1,Clear,0.1775,45.7083,23.667214,75,1468,1543,Rendah
2011-01-22,Spring,0,1,0,6,0,Clear,0.0591304,40.0,11.52199,93,888,981,Rendah
2011-01-23,Spring,0,1,0,0,0,Clear,0.0965217,43.6522,16.5222,150,836,986,Rendah
2011-01-24,Spring,0,1,0,1,1,Clear,0.0973913,49.173899999999996,10.60811,86,1330,1416,Rendah
2011-01-25,Spring,0,1,0,2,1,Cloudy,0.223478,61.695699999999995,8.696332,186,1799,1985,Rendah
2011-01-26,Spring,0,1,0,3,1,Light Rain/Snow,0.2175,86.25,19.68795,34,472,506,Rendah
2011-01-27,Spring,0,1,0,4,1,Clear,0.195,68.75,7.627078999999999,15,416,431,Rendah
2011-01-28,Spring,0,1,0,5,1,Cloudy,0.203478,79.30430000000001,8.2611,38,1129,1167,Rendah
2011-01-29,Spring,0,1,0,6,0,Clear,0.196522,65.17389999999999,9.739455,123,975,1098,Rendah
2011-01-30,Spring,0,1,0,0,0,Clear,0.216522,72.2174,4.956834199999999,140,956,1096,Rendah
2011-01-31,Spring,0,1,0,1,1,Cloudy,0.180833,60.375,12.541864,42,1459,1501,Rendah
2011-02-01,Spring,0,2,0,2,1,Cloudy,0.192174,82.9565,3.565271,47,1313,1360,Rendah
2011-02-02,Spring,0,2,0,3,1,Cloudy,0.26,77.5417,17.708636,72,1454,1526,Rendah
2011-02-03,Spring,0,2,0,4,1,Clear,0.186957,43.7826,18.609384,61,1489,1550,Rendah
2011-02-04,Spring,0,2,0,5,1,Cloudy,0.211304,58.521699999999996,8.565213,88,1620,1708,Rendah
2011-02-05,Spring,0,2,0,6,0,Cloudy,0.233333,92.91669999999999,10.792293,100,905,1005,Rendah
2011-02-06,Spring,0,2,0,0,0,Clear,0.285833,56.833299999999994,9.5006,354,1269,1623,Rendah
2011-02-07,Spring,0,2,0,1,1,Clear,0.271667,73.83330000000001,3.0423561,120,1592,1712,Rendah
2011-02-08,Spring,0,2,0,2,1,Clear,0.220833,53.7917,24.25065,64,1466,1530,Rendah
2011-02-09,Spring,0,2,0,3,1,Cloudy,0.134783,49.4783,12.652213,53,1552,1605,Rendah
2011-02-10,Spring,0,2,0,4,1,Clear,0.144348,43.7391,14.869645,47,1491,1538,Rendah
2011-02-11,Spring,0,2,0,5,1,Clear,0.189091,50.6364,7.272849999999999,149,1597,1746,Rendah
2011-02-12,Spring,0,2,0,6,0,Clear,0.2225,54.4167,13.625589,288,1184,1472,Rendah
2011-02-13,Spring,0,2,0,0,0,Clear,0.316522,45.7391,17.479160999999998,397,1192,1589,Rendah
2011-02-14,Spring,0,2,0,1,1,Clear,0.415,37.583299999999994,27.999836,208,1705,1913,Rendah
2011-02-15,Spring,0,2,0,2,1,Clear,0.266087,31.434800000000003,19.522058,140,1675,1815,Rendah
2011-02-16,Spring,0,2,0,3,1,Clear,0.318261,42.3478,16.869996999999998,218,1897,2115,Sedang
2011-02-17,Spring,0,2,0,4,1,Clear,0.435833,50.5,15.416968,259,2216,2475,Sedang
2011-02-18,Spring,0,2,0,5,1,Clear,0.521667,51.6667,17.749975000000003,579,2348,2927,Sedang
2011-02-19,Spring,0,2,0,6,0,Clear,0.399167,18.7917,34.000021,532,1103,1635,Rendah
2011-02-20,Spring,0,2,0,0,0,Clear,0.285217,40.7826,14.956745,639,1173,1812,Rendah
2011-02-21,Spring,0,2,1,1,0,Cloudy,0.303333,60.5,20.625682,195,912,1107,Rendah
2011-02-22,Spring,0,2,0,2,1,Clear,0.182222,57.7778,13.110761,74,1376,1450,Rendah
2011-02-23,Spring,0,2,0,3,1,Clear,0.221739,42.3043,6.3055710000000005,139,1778,1917,Rendah
2011-02-24,Spring,0,2,0,4,1,Cloudy,0.295652,69.7391,16.783231999999998,100,1707,1807,Rendah
2011-02-25,Spring,0,2,0,5,1,Cloudy,0.364348,71.2174,23.218113,120,1341,1461,Rendah
2011-02-26,Spring,0,2,0,6,0,Clear,0.2825,53.7917,12.500257,424,1545,1969,Rendah
2011-02-27,Spring,0,2,0,0,0,Clear,0.343478,68.0,8.391615999999999,694,1708,2402,Sedang
2011-02-28,Spring,0,2,0,1,1,Cloudy,0.407273,87.63640000000001,19.408962,81,1365,1446,Rendah
2011-03-01,Spring,0,3,0,2,1,Clear,0.266667,53.5,14.500475,137,1714,1851,Rendah
2011-03-02,Spring,0,3,0,3,1,Clear,0.335,44.9583,20.624811,231,1903,2134,Sedang
2011-03-03,Spring,0,3,0,4,1,Clear,0.198333,31.833299999999998,15.125518000000001,123,1562,1685,Rendah
2011-03-04,Spring,0,3,0,5,1,Cloudy,0.261667,61.0417,13.624182,214,1730,1944,Rendah
2011-03-05,Spring,0,3,0,6,0,Cloudy,0.384167,78.91669999999999,16.875357,640,1437,2077,Sedang
2011-03-06,Spring,0,3,0,0,0,Cloudy,0.376522,94.8261,23.000229,114,491,605,Rendah
2011-03-07,Spring,0,3,0,1,1,Clear,0.261739,55.1304,22.870584,244,1628,1872,Rendah
2011-03-08,Spring,0,3,0,2,1,Clear,0.2925,42.0833,8.083549999999999,316,1817,2133,Sedang
2011-03-09,Spring,0,3,0,3,1,Cloudy,0.295833,77.5417,14.750050000000002,191,1700,1891,Rendah
2011-03-10,Spring,0,3,0,4,1,Light Rain/Snow,0.389091,0.0,17.545759,46,577,623,Rendah
2011-03-11,Spring,0,3,0,5,1,Cloudy,0.316522,64.95649999999999,15.60899,247,1730,1977,Rendah
2011-03-12,Spring,0,3,0,6,0,Clear,0.329167,59.458299999999994,14.791924999999999,724,1408,2132,Sedang
2011-03-13,Spring,0,3,0,0,0,Clear,0.384348,52.73910000000001,18.130468,982,1435,2417,Sedang
2011-03-14,Spring,0,3,0,1,1,Clear,0.325217,49.695699999999995,9.174042,359,1687,2046,Sedang
2011-03-15,Spring,0,3,0,2,1,Cloudy,0.317391,65.5652,12.348703,289,1767,2056,Sedang
2011-03-16,Spring,0,3,0,3,1,Cloudy,0.365217,77.65220000000001,13.608839,321,1871,2192,Sedang
2011-03-17,Spring,0,3,0,4,1,Clear,0.415,60.291700000000006,14.041792999999998,424,2320,2744,Sedang
2011-03-18,Spring,0,3,0,5,1,Clear,0.54,52.5217,15.478139,884,2355,3239,Sedang
2011-03-19,Spring,0,3,0,6,0,Clear,0.4725,37.9167,24.667189,1424,1693,3117,Sedang
